仕		shi4	/to serve as an official/an official/the two chess pieces in Chinese chess guarding the "general" or "king" 將|将[jiang4]/
他		ta1	/he or him/(used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/other/another/
仗		zhang4	/weaponry/to hold (a weapon)/to wield/to rely on/to depend on/war/battle/
付		Fu4	/surname Fu/
付		fu4	/to pay/to hand over to/classifier for pairs or sets of things/
仙		xian1	/immortal/
仚		xian1	/old variant of 仙[xian1]/
仝		tong2	/(used in given names)/variant of 同[tong2]/
仞		ren4	/(measure)/
仟		qian1	/thousand (banker's anti-fraud numeral)/
仡		Ge1	/see 仡佬族[Ge1 lao3 zu2], Gelao or Klau ethnic group of Guizhou/Taiwan pr. [Qi4]/
仡		yi4	/strong/brave/
代		dai4	/to substitute/to act on behalf of others/to replace/generation/dynasty/age/period/(historical) era/(geological) eon/
令		Ling2	/see 令狐[Ling2 hu2]/
令		ling2	/see 脊令[ji2 ling2]/
令		ling3	/classifier for a ream of paper/
令		ling4	/to order/to command/an order/warrant/writ/to cause/to make sth happen/virtuous/honorific title/season/government position (old)/
以		Yi3	/abbr. for Israel 以色列[Yi3 se4 lie4]/
以		yi3	/to use/by means of/according to/in order to/because of/at (a certain date or place)/
仨		sa1	/three (colloquial equivalent of 三個|三个)/
仫		mu4	/name of tribe/see 仫佬族[Mu4 lao3 zu2], Mulao ethnic group of Guangxi/
仮		jia3	/Japanese variant of 假/
仰		Yang3	/surname Yang/
仰		yang3	/to face upward/to look up/to admire/to rely on/
仲		Zhong4	/surname Zhong/
仲		zhong4	/second month of a season/middle/intermediate/second amongst brothers/
仳		pi3	/to part/
仵		Wu3	/surname Wu/
仵		wu3	/equal/well-matched/to violate/
件		jian4	/item/component/classifier for events, things, clothes etc/
任		Ren2	/surname Ren/Ren County 任縣|任县[Ren2 Xian4] in Hebei/
